Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes	Source
Gastrulation (GO:0007369)	1/17	0.026035891626597	0.0912443707288224	0	0	41.56875	151.654407895734	MEGF8	GO_Biological_Process_2025
DNA Damage Response (GO:0006974)	3/421	0.0269188881502526	0.0912443707288224	0	0	5.01136363636364	18.1157141020603	BABAM1;RFC2;NCOA6	GO_Biological_Process_2025
Estrogen Receptor Signaling Pathway (GO:0030520)	1/18	0.0275468149406695	0.0912443707288224	0	0	39.121568627451	140.519524554554	EGLN2	GO_Biological_Process_2025
SMAD Protein Signal Transduction (GO:0060395)	1/18	0.0275468149406695	0.0912443707288224	0	0	39.121568627451	140.519524554554	SMAD9	GO_Biological_Process_2025
Regulation of Macromolecule Biosynthetic Process (GO:0010556)	2/170	0.0284238162883414	0.0912443707288224	0	0	8.12848932676519	28.9417128990272	TRIM4;MEGF8	GO_Biological_Process_2025
Heart Development (GO:0007507)	2/171	0.028732795863608	0.0912443707288224	0	0	8.07998367680065	28.6816481097118	NCOA6;MEGF8	GO_Biological_Process_2025
Regulation of Receptor Signaling Pathway via STAT (GO:1904892)	1/19	0.0290554700086194	0.0912443707288224	0	0	36.9462962962963	130.736261970552	JAK3	GO_Biological_Process_2025
Positive Regulation of Axon Extension (GO:0045773)	1/19	0.0290554700086194	0.0912443707288224	0	0	36.9462962962963	130.736261970552	MEGF8	GO_Biological_Process_2025
Maturation of 5.8S rRNA Frm Tricistronic rRNA Trnscpt (GO:0000466)	1/19	0.0290554700086194	0.0912443707288224	0	0	36.9462962962963	130.736261970552	RPS21	GO_Biological_Process_2025
Limb Morphogenesis (GO:0035108)	1/19	0.0290554700086194	0.0912443707288224	0	0	36.9462962962963	130.736261970552	MEGF8	GO_Biological_Process_2025
Ameboidal-Type Cell Migration (GO:0001667)	1/20	0.0305618601074185	0.092577612007023	0	0	35	122.080085720138	MEGF8	GO_Biological_Process_2025
Growth Hormone Receptor Signaling Pathway (GO:0060396)	1/21	0.032065988516399	0.092577612007023	0	0	33.2483333333333	114.37291539919	JAK3	GO_Biological_Process_2025
DNA Repair-Dependent Chromatin Remodeling (GO:0140861)	1/21	0.032065988516399	0.092577612007023	0	0	33.2483333333333	114.37291539919	BABAM1	GO_Biological_Process_2025
Negative Regulation of Leukocyte Cell-Cell Adhesion (GO:1903038)	1/21	0.032065988516399	0.092577612007023	0	0	33.2483333333333	114.37291539919	JAK3	GO_Biological_Process_2025
Response to BMP (GO:0071772)	1/21	0.032065988516399	0.092577612007023	0	0	33.2483333333333	114.37291539919	SMAD9	GO_Biological_Process_2025
Negative Regulation of Smoothened Signaling Pathway (GO:0045879)	1/23	0.0350674733320937	0.0980793394756994	0	0	30.2227272727273	101.260681469549	MEGF8	GO_Biological_Process_2025
U2-type Prespliceosome Assembly (GO:1903241)	1/23	0.0350674733320937	0.0980793394756994	0	0	30.2227272727273	101.260681469549	SF3A3	GO_Biological_Process_2025
